kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.23179999971034704,0.14690000034534023,0.050600000122358324,0.4266000000825443,0.5194000000301457,16.759800000272662,18.531700000039564,0.11620000032053213,2.644299999701616,0.07030000006125192,0.1957999998012383,3.674200000205019,102400,102416,32,16,16,1,5.2696865371116255,26.57891513650613
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.26109999998880085,0.14509999982692534,0.04769999986820039,0.4139000002396642,0.49609999996391707,17.889500000364933,19.639200000256096,0.05319999991115765,1.4479999999821302,0.0555999999960477,0.16579999964960734,2.1674999998140265,102400,102416,32,16,16,1,4.9725167012264535,45.05478662439631
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.20979999999326537,0.13390000003710156,0.04709999984697788,0.4399999997986015,0.5011000002923538,15.709000000242668,17.431499999929656,0.05400000009103678,1.535899999907997,0.05629999986922485,0.16080000023066532,2.201500000410306,102400,102416,32,16,16,1,5.6022860912941566,44.35895979186884
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.21229999993011006,0.13429999989966745,0.045899999804532854,0.47670000003563473,0.5331000002115616,17.890799999804585,19.669899999826157,0.09850000014921534,2.370499999869935,0.07569999979750719,0.18280000040249433,3.3347000003232097,102400,102416,32,16,16,1,4.964755794430225,29.284868201197963
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.20760000006703194,0.14559999999619322,0.04690000014306861,0.4183999999440857,0.5525999999917985,18.43719999988025,20.181200000024546,0.052800000048591755,1.4387000001079286,0.057499999911669875,0.17479999996794504,2.1532000000661355,102400,102416,32,16,16,1,4.8389714189384785,45.35400798671767
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.21400000014182297,0.13730000000578002,0.05120000014358084,0.4088999999112275,0.5286999999043474,22.347899999658694,24.0801999998439,0.07499999992433004,1.8470999998498883,0.05850000025020563,0.15729999995528487,2.604499999961263,102400,102416,32,16,16,1,4.055458426451319,37.49520061487904
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.23680000003878376,0.17489999981989968,0.050600000122358324,0.41800000008151983,0.5166000000826898,15.997799999695417,17.805699999826174,0.09850000014921534,2.720700000281795,0.08219999972425285,0.2258000004076166,3.72479999987263,102400,102416,32,16,16,1,5.484549891380476,26.217850623748756
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.27399999999033753,0.15690000009271898,0.05329999976311228,0.4951999999320833,0.5630000000564905,16.658800000186602,18.588099999760743,0.12419999984558672,2.678199999991193,0.07719999985056347,0.20599999970727367,3.783099999964179,102400,102416,32,16,16,1,5.253697257990702,25.813816711407227
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.22430000035456032,0.1584999999977299,0.049500000386615284,0.4183999999440857,0.4994000000806409,15.421499999774824,17.184799999995448,0.12250000008862116,3.206800000043586,0.07540000024164328,0.22579999995286926,4.334700000072189,102400,102416,32,16,16,1,5.682710884038562,22.5289524069425
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_100KB.txt,True,20,0.2699000001484819,0.178799999957846,0.06209999992279336,0.49899999976332765,0.5031999999118852,18.14699999977165,20.0937999998132,0.10229999998045969,2.407700000276236,0.0760000002628658,0.19239999983255984,3.363599999829603,102400,102416,32,16,16,1,4.860019010884345,29.033253063666066
