kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,91.40989999968951,0.21070000002509914,22.9272999999921,0.4785999999512569,0.0,0.0,249.1826000000401,22.647799999958806,1.4779000002818066,0.06090000033509568,83.8874000000942,179.1720000001078,52428800,52428816,32,16,16,1,200.65606507032172,279.06146049589177
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,80.8630000001358,0.18629999976838008,22.918600000139122,0.7105999998202606,0.0,0.0,239.71960000017134,22.777099999984785,1.448900000013964,0.058399999943503644,83.69249999987005,179.64579999988928,52428800,52428816,32,16,16,1,208.57702081917483,278.32546043398077
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,80.90300000003481,0.2054000001407985,22.802500000125292,0.4762999997183215,0.0,0.0,237.76429999998072,22.526899999775196,1.4349999996738916,0.06170000006022747,84.2291999997542,178.77090000001772,52428800,52428816,32,16,16,1,210.29229367068166,279.68757778807986
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,82.01039999994464,0.1832999996622675,23.007300000244868,0.49720000015440746,0.0,0.0,240.2006999996047,22.468300000127783,1.5508999999838124,0.06119999989095959,87.7080999998725,180.9387999996943,52428800,52428816,32,16,16,1,208.15926015237378,276.3365292578732
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.907400000091,0.17789999992601224,22.76339999980337,0.46400000019275467,0.0,0.0,239.2149999996036,22.525800000039453,1.4556000000993663,0.056600000334583456,83.66400000022622,178.4261000002516,52428800,52428816,32,16,16,1,209.0169930818839,280.2280608046104
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.41670000031809,0.1648000002205663,22.96780000006038,0.49279999984719325,0.0,0.0,238.23769999989963,23.26020000009521,1.4578000000255997,0.05890000011277152,84.73709999998391,181.14849999983562,52428800,52428816,32,16,16,1,209.87442373738944,276.01663828320613
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.5205000003516,0.19119999979011482,23.398599999836733,0.48609999976179097,0.0,0.0,240.83169999994425,22.728100000222184,1.4684999996461556,0.060200000007171184,86.57420000008642,182.2388000000501,52428800,52428816,32,16,16,1,207.61386478612067,274.3652833534146
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.9258000001355,0.1926999998431711,23.041700000248966,0.46999999995023245,0.0,0.0,239.0874000002441,21.987000000081025,1.5080000002853922,0.058399999943503644,83.95690000043032,177.1837000001142,52428800,52428816,32,16,16,1,209.1285446240536,282.1930008232573
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,80.50409999987096,0.17829999978857813,25.061600000299222,0.45499999987441697,0.0,0.0,240.35860000003595,23.098699999991368,1.478799999858893,0.057899999774235766,87.373899999875,187.88379999978133,52428800,52428816,32,16,16,1,208.02251302841887,266.1219328119731
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.33330000009664,0.18980000004376052,22.741799999948853,0.4646000002139772,0.0,0.0,238.26129999997647,22.666999999728432,1.5057000000524567,0.06419999999707215,83.92269999967539,181.2724999999773,52428800,52428816,32,16,16,1,209.85363548341647,275.82782826962864
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,82.60549999977229,0.17220000017914572,22.65990000023521,0.4711999999926775,0.0,0.0,239.9187000000893,22.67119999987699,1.484100000197941,0.05700000019714935,85.03090000021984,181.31450000009863,52428800,52428816,32,16,16,1,208.40393016459905,275.7639350408974
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.47599999983868,0.19430000020292937,22.823300000254676,0.47889999996186816,0.0,0.0,236.6575000000921,22.25880000014513,1.4445000001614972,0.06140000004961621,83.46039999969435,177.8098999998292,52428800,52428816,32,16,16,1,211.2757888508944,281.19919082147857
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,82.0118999999977,0.17350000007354538,23.1380000000172,0.45470000031855307,0.0,0.0,239.5472999996855,22.873400000207766,1.4356000001498614,0.06610000036744168,88.79639999986466,185.12179999970613,52428800,52428816,32,16,16,1,208.72704472171318,270.09244724327107
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,83.85279999993145,0.18960000033985125,23.225800000091112,0.4476000003705849,0.0,0.0,243.66069999996398,22.948900000301364,1.4582999997401203,0.058600000102160266,87.00450000014825,185.03400000008696,52428800,52428816,32,16,16,1,205.2033832292503,270.2206081043295
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,82.24379999956,0.1596000001882203,23.666400000365684,0.5119000002196117,0.0,0.0,240.54599999999482,22.94130000018413,1.4828999997007486,0.05809999993289239,83.63650000001144,179.99839999993128,52428800,52428816,32,16,16,1,207.8604508077502,277.78024693563435
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,80.36459999993895,0.16310000000885339,22.81910000010612,0.4778000002261251,0.0,0.0,236.89089999970747,22.073999999975058,1.4897999999448075,0.059100000271428144,85.05269999977827,179.5698999999331,52428800,52428816,32,16,16,1,211.06762648992319,278.44310210129106
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.9181000001663,0.1837999998315354,21.842600000127277,0.45069999987390474,0.0,0.0,235.52680000011605,22.25159999989046,1.5036999998301326,0.05830000009154901,85.75760000030641,181.03449999989607,52428800,52428816,32,16,16,1,212.29006635327855,276.1904498867824
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,83.79340000010416,0.19429999974818202,22.609899999679328,0.4455999996935134,0.0,0.0,240.9904999999526,21.942500000022847,1.4573000003110792,0.05909999981668079,85.40519999996832,180.0719000002573,52428800,52428816,32,16,16,1,207.47705822432766,277.66686529063423
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_50MB.txt,False,20,81.91080000005968,0.17329999991488876,22.078899999996793,0.473100000363047,0.0,0.0,237.7556999999797,22.358799999892653,1.4553999999407097,0.05700000019714935,84.78050000030635,179.50000000018917,52428800,52428816,32,16,16,1,210.29990027580524,278.5515320331326
