kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.02010000025620684,0.21010000000387663,0.009900000350171467,0.5961000001661887,0.377200000002631,14.239999999972497,15.630800000053569,0.015300000086426735,2.5272000002587447,0.08219999972425285,0.028899999961140566,2.9838000000381726,1024,1040,32,16,16,1,0.062476808608430356,0.32728818955275374
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.020899999981338624,0.21180000021558953,0.0175999998646148,0.6849999999758438,0.41069999997489504,15.606299999944895,17.15009999998074,0.014599999758502236,2.031999999871914,0.09230000023308094,0.030700000024808105,2.5069000002986286,1024,1040,32,16,16,1,0.056942087801301264,0.3895498423884755
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.01849999989644857,0.1768000001902692,0.005700000201613875,0.558400000045367,0.3224000001864624,15.121599999929458,16.37010000013106,0.015500000245083356,3.2919999998739513,0.10130000009667128,0.03220000007786439,3.774799999973766,1024,1040,32,16,16,1,0.05965525561799754,0.2587057592473209
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.02029999996011611,0.19560000009732903,0.005699999746866524,0.5773000002591289,0.3409999999348656,14.092099999743368,15.420499999891035,0.015699999948992627,2.052400000138732,0.09850000014921534,0.030100000003585592,2.5501999998596148,1024,1040,32,16,16,1,0.06332884796257583,0.3829356521267973
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.021600000309263123,0.19120000024486217,0.009500000032858225,0.649399999929301,0.36399999999048305,13.51440000007642,14.939199999844277,0.011300000096525764,1.8356000000494532,0.08109999998850981,0.026200000320386607,2.2523000002365734,1024,1040,32,16,16,1,0.06536912953907702,0.4335845579618281
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.01920000022437307,0.17529999968246557,0.016599999980826396,0.546900000244932,0.31480000006922637,12.534099999811588,13.77169999977923,0.014700000065204222,1.6614999999546853,0.06849999999758438,0.02189999986512703,2.0242000000507687,1024,1040,32,16,16,1,0.07091081711158789,0.48244368144230165
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.015900000107649248,0.1459999998587591,0.009000000318337698,0.4474000002119283,0.2862999999706517,15.489299999899231,16.53600000008737,0.013500000022759195,1.6723999997338979,0.0710999997863837,0.02499999982319423,2.0994000001337554,1024,1040,32,16,16,1,0.05905675495856557,0.4651626654938468
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.018600000203150557,0.16649999997753184,0.004900000021734741,0.530100000105449,0.28630000042539905,17.334699999992154,18.494899999950576,0.010899999779212521,2.325500000097236,0.07199999981821747,0.023800000235496555,2.7009000000361993,1024,1040,32,16,16,1,0.052801718311675634,0.3615692917127296
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.015699999948992627,0.16109999978652922,0.009299999874201603,0.4934999997203704,0.30220000007830095,14.120899999852554,15.249099999891769,0.01920000022437307,1.744800000324176,0.058200000239594374,0.020899999981338624,2.1139999998922576,1024,1040,32,16,16,1,0.06404066469542014,0.4619500946309232
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.014199999895936344,0.12449999985619797,0.004699999863078119,0.44720000005327165,0.31869999975242536,17.510399999991932,18.54040000034729,0.01539999993838137,2.7322999999341846,0.07580000010420918,0.02750000021478627,3.156100000069273,1024,1040,32,16,16,1,0.0526721376012226,0.30942064572686717
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.016600000435573747,0.15450000000782893,0.005000000328436727,0.5205999996178434,0.29760000006717746,13.727300000027753,14.881300000070041,0.02009999980145949,1.7839000001913519,0.12980000019524596,0.039399999877787195,2.405700000053912,1024,1040,32,16,16,1,0.06562346703550118,0.4059369414216715
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_1KB.txt,True,20,0.02880000010918593,0.24359999997614068,0.008800000159681076,0.7203000000117754,0.37909999991825316,14.986700000008568,16.614499999832333,0.014700000065204222,1.6153999999914959,0.0555999999960477,0.01919999976962572,1.9296999998914544,1024,1040,32,16,16,1,0.05877772427758013,0.5060695963387737
