curve,aes_payload,kem_wrap,hash,scrypt_N,scrypt_r,scrypt_p,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,41.3573,24.0543,10.4825,0.4716,0,0,155.9304,10.3696,1.4846,23.7234,42.2908,113.5894,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.6082,24.2645,10.3091,0.481,0,0,142.6848,10.3899,1.5124,24.0604,41.7978,113.3073,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.4459,24.3408,10.3412,0.4788,0,0,142.7459,10.3611,1.4435,25.1793,42.5148,114.6377,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.6876,24.4334,10.3955,0.4976,0,0,143.3638,10.3295,1.4343,23.7815,42.5649,114.0361,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.5711,24.3627,10.3036,0.4756,0,0,145.0243,10.319,1.4614,23.4739,42.8058,113.3989,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,45.9136,25.8278,9.9715,0.4687,0,0,147.8716,9.8222,1.4492,23.7252,42.635,113.1117,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.3269,24.4192,9.8147,0.4473,0,0,141.1108,9.847,1.5046,24.6167,42.0322,113.9203,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.5157,25.7347,10.5226,0.4498,0,0,144.0464,10.4578,1.472200001,23.8262,42.2109,113.7081,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.5832,24.8189,11.7654,0.4836,0,0,144.0852,10.2884,1.432100001,24.4072,42.6354,114.1415,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,42.4056,25.7828,9.795999999,0.4383,0,0,146.1247,9.9433,1.459800001,23.4486,41.9483,112.0321,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.3675,24.2707,9.877799999,0.4214,0,0,141.5656,10.3237,1.444699999,23.5589,43.3292,113.5574,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.4883,24.1924,12.9708,0.45,0,0,144.5815,9.8609,1.502,23.8353,43.0005,116.3727,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.7582,25.2454,9.9008,0.4828,0,0,142.9554,9.8931,1.484400001,24.4693,42.1449,113.4424,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,41.1499,24.0086,9.8529,0.4338,0,0,141.1468,9.9418,1.4992,24.3296,42.721,114.4138,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,41.1956,24.5906,9.8271,0.4854,0,0,142.6904,9.7409,1.4701,24.1517,42.1791,113.2023,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.9054,24.4103,10.4252,0.4483,0,0,142.9133,9.8953,1.4921,24.6445,41.9274,113.7643,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,41.7472,24.2391,9.814100001,0.4796,0,0,141.9369,10.2869,1.463000001,24.2878,42.1697,114.8397,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.7913,24.2487,10.3725,0.4832,0,0,142.5472,9.8462,1.481699999,24.6081,42.7465,114.2155,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,40.3497,25.8642,9.99,0.4659,0,0,143.3953,10.0058,1.4971,23.8851,43.0792,113.7389,26214400,26214416,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_25MB.txt,FALSE,20,41.1745,24.7913,10.1689,0.4746,0,0,143.5186,10.8917,1.504,24.209,42.766,115.2738,26214400,26214416,32,16,16
,,,,,,,,,,41.117135,24.69502,10.34511,0.465865,0,0,144.011945,10.140705,1.47462,24.111085,42.47497,113.935195,26214400,26214416,32,16,16
