curve,aes_payload,kem_wrap,hash,scrypt_N,scrypt_r,scrypt_p,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.01340000017080456,24.44920000016282,0.010700000075303251,0.4691999997703533,0.40689999968890334,14.764200000172423,40.145099999790546,0.009700000191514846,1.4912000001459091,23.57879999999568,0.02119999999194988,25.156600000173057,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.014299999747890979,23.97320000000036,0.011099999937869143,0.4973000000063621,0.40089999993142555,17.822700000124314,42.74770000029093,0.010899999779212521,1.479999999901338,24.190399999952206,0.02210000002378365,25.760700000319048,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.019300000076327706,24.259300000267103,0.01050000037139398,0.5119000002196117,0.4241000001456996,15.58100000011109,40.83479999962947,0.010299999757990008,1.4796000000387721,24.13429999978689,0.02990000029967632,25.710200000048644,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.01609999981155852,25.309899999683694,0.016199999663513154,0.4689000002144894,0.7557999997516163,15.701599999829341,42.296600000099716,0.012599999990925426,1.6267999999399763,24.09940000006827,0.02080000012938399,25.843800000075134,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.013600000329461182,24.065900000096008,0.01049999991664663,0.47289999974964303,0.42099999973288504,15.587799999593699,40.60059999983423,0.011099999937869143,1.4560999998138868,23.63020000029792,0.021599999854515772,25.189399999817397,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.015000000075815478,24.056600000221806,0.010599999768601265,0.4410999999890919,0.41439999995418475,16.799800000171672,41.76640000014231,0.011200000244571129,1.6845000000103028,23.934100000133185,0.022400000034394907,25.714999999763677,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.015099999927770114,24.195099999815284,0.010799999927257886,0.4616000001078646,0.42540000004009926,14.05159999967509,39.18900000007852,0.01810000003388268,1.579699999638251,23.5714000000371,0.020899999981338624,25.285599999733677,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.014000000192027073,24.61810000022524,0.010899999779212521,0.4245000000082655,0.4067999998369487,16.17179999993823,41.67509999979302,0.011500000255182385,1.5156999997998355,23.881099999925937,0.02190000031987438,25.490699999863864,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.014700000065204222,25.317600000107632,0.01539999993838137,0.49720000015440746,0.42860000030486844,13.708800000131305,40.01689999995506,0.010000000202126103,1.4517999998133746,23.530699999810167,0.023999999939405825,25.07100000002538,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.013800000033370452,24.170300000150746,0.013899999885325087,0.5055999999967753,0.44570000000021537,15.98809999995865,41.16810000004989,0.011300000096525764,1.6917999996621802,25.69630000016332,0.02230000018244027,27.48959999962608,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.014700000065204222,25.317999999970198,0.012200000128359534,0.5029999997532286,0.44870000010632793,19.46380000026693,45.7974999999351,0.01700000029813964,1.5637999999853491,25.599999999940337,0.024200000098062446,27.330699999765784,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.01340000017080456,24.8569000000316,0.014400000054592965,0.48420000030091614,0.45839999984309543,19.107399999938934,44.9823999997534,0.011800000265793642,1.464799999666866,25.473199999851204,0.023099999907572055,27.03719999999521,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.014000000192027073,27.53789999997025,0.01939999992828234,0.5842000000484404,0.7366999998339452,16.58769999994547,45.525500000167085,0.01049999991664663,1.5225000001919398,25.695700000142097,0.027399999908084283,27.31820000008156,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.013800000033370452,25.553500000114582,0.02190000031987438,0.5575999998654879,0.37639999982275185,10.032799999862618,36.587799999779236,0.011999999969702912,1.4823000001342734,24.66050000020914,0.03309999965495081,26.249600000028295,1024,1040,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1KB.txt,True,20,0.019799999790848233,24.54859999988912,0.012999999853491317,0.4973000000063621,0.36840000029769726,16.301099999964208,41.77689999960421,0.011199999789823778,1.4409999998861167,24.432900000192603,0.021500000002561137,25.966300000163756,1024,1040,32,16,16
