kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.028500000098574674,0.11859999995067483,0.009000000090964022,0.555999999960477,0.0,0.0,0.8862000001954584,0.007500000037907739,1.7198000000462343,0.05420000002231973,0.031700000135970186,1.9933999999466323,10240,10256,32,16,16,1,11.01966260194777,4.898979131263895
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02769999991869554,0.11329999983900052,0.009099999942918657,0.5026000001180364,0.0,0.0,0.8179999999811116,0.0087999999323074,1.698000000033062,0.05620000001727021,0.03609999998843705,1.995899999883477,10240,10256,32,16,16,1,11.938416870691317,4.8928428280826335
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.030200000082913903,0.1194999999825086,0.008499999921696144,0.4962000000432454,0.0,0.0,0.8124999999381544,0.006900000016685226,1.722299999983079,0.058500000022831955,0.032400000009147334,2.0013000000744796,10240,10256,32,16,16,1,12.019230770145645,4.879640733341611
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.027300000056129647,0.1173999999082298,0.008399999842367833,0.45560000012301316,0.0,0.0,0.7664999998269195,0.006999999868639861,1.6657999999551976,0.05090000013296958,0.030599999945479794,1.9280999999864434,10240,10256,32,16,16,1,12.740541424925166,5.064895493007968
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.027400000135457958,0.11279999989710632,0.007800000048518996,0.4870000000209984,0.0,0.0,0.7829000001038366,0.006900000016685226,1.634499999909167,0.05160000000614673,0.02999999992425728,1.8938999999136286,10240,10256,32,16,16,1,12.47365563763543,5.156357252466003
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02870000002985762,0.11029999996026163,0.008199999911084888,0.5141999999977998,0.0,0.0,0.8207999999285676,0.007200000027296483,1.7465999999330961,0.05160000000614673,0.030599999945479794,2.003899999863279,10240,10256,32,16,16,1,11.897691277838549,4.873309546717044
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.026700000034907134,0.10849999989659409,0.007899999900473631,0.44880000018565624,0.0,0.0,0.7528999999522057,0.007000000096013537,1.676800000041112,0.05350000014914258,0.031700000135970186,1.9336000000294007,10240,10256,32,16,16,1,12.970680038012917,5.050488725616215
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02700000004551839,0.16150000010384247,0.007699999969190685,0.44749999983650923,0.0,0.0,0.7944999999836,0.006699999858028605,1.6103999998904328,0.05149999992681842,0.030800000104136416,1.8790999999964697,10240,10256,32,16,16,1,12.29153555720778,5.19696929382063
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02610000001368462,0.1059999999597494,0.008100000059130252,0.4480000000057771,0.0,0.0,0.7507999998779269,0.006900000016685226,1.5980999999101186,0.05049999981565634,0.029199999971751822,1.8600000000787986,10240,10256,32,16,16,1,13.006959245588439,5.250336021282947
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02700000004551839,0.1159000000825472,0.007899999900473631,0.45030000001133885,0.0,0.0,0.7557000001270353,0.00670000008540228,1.6401000000314525,0.050999999984924216,0.03040000001419685,1.8929000000298402,10240,10256,32,16,16,1,12.922621408440348,5.1590813037382075
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.028100000008635106,0.10739999993347737,0.007999999979801942,0.47459999996135593,0.0,0.0,0.7794000000558299,0.006799999937356915,1.643100000137565,0.05160000000614673,0.029799999992974335,1.8913999999767839,10240,10256,32,16,16,1,12.5296702582762,5.16317278212957
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.031499999977313564,0.1063999998223153,0.007800000048518996,0.4883999999947264,0.0,0.0,0.7966000000578788,0.006799999937356915,1.674399999956222,0.05129999999553547,0.03050000009352516,1.936500000056185,10240,10256,32,16,16,1,12.25913256250371,5.042925380695411
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02689999996619008,0.11399999993955134,0.008100000059130252,0.45599999998557905,0.0,0.0,0.7602999999107851,0.006900000016685226,1.6366999998354004,0.05620000001727021,0.03040000001419685,1.9045999999889318,10240,10256,32,16,16,1,12.844436408188761,5.127388953090807
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02689999996619008,0.11029999996026163,0.008299999990413198,0.4796999999143736,0.0,0.0,0.7740999999441556,0.006900000016685226,1.6255999998975312,0.04939999985253962,0.02949999998236308,1.8704999999954453,10240,10256,32,16,16,1,12.61545666025643,5.220863405519262
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02650000010362419,0.10529999985919858,0.007599999889862374,0.4979000000275846,0.0,0.0,0.7921999999780382,0.026300000172341242,2.1964999998544954,0.0608000000283937,0.03220000007786439,2.6321000000280037,10240,10256,32,16,16,1,12.327221661538408,3.71020287979032
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.03519999995660328,0.1279000000522501,0.01049999991664663,0.4669999998441199,0.0,0.0,0.8001999999578402,0.006900000016685226,1.5510000000631408,0.050899999905595905,0.030200000082913903,1.8093000001044857,10240,10256,32,16,16,1,12.203980255579252,5.397460343467663
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.025399999913133797,0.1191000001199427,0.007999999979801942,0.4440999998678308,0.0,0.0,0.7488000001103501,0.006900000016685226,1.60320000009051,0.0525000000379805,0.03130000004603062,1.8643000000793108,10240,10256,32,16,16,1,13.041700051496859,5.238226143638123
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.027299999828755972,0.1085999999759224,0.007800000048518996,0.46020000013413664,0.0,0.0,0.7525999999415944,0.007299999879251118,1.6482999999425374,0.056800000038492726,0.030499999866151484,1.9230999998853804,10240,10256,32,16,16,1,12.975850386337845,5.078064063533901
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.02679999988686177,0.11819999986073526,0.008600000001024455,0.470400000040172,0.0,0.0,0.7780999999340565,0.006799999937356915,1.5986000000793865,0.05069999997431296,0.030299999934868538,1.8536000000040076,10240,10256,32,16,16,1,12.550604036534674,5.2684640699066065
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10KB.txt,False,20,0.026199999865639256,0.10750000001280569,0.008299999990413198,0.49689999991642253,0.0,0.0,0.7992000000740518,0.006999999868639861,1.831100000117658,0.06050000001778244,0.033400000120309414,2.13339999982054,10240,10256,32,16,16,1,12.219250499368297,4.577493672457803
