curve,aes_payload,kem_wrap,hash,scrypt_N,scrypt_r,scrypt_p,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9663,26.2607,0.4456,0.547,0,0,32.3116,0.4325,1.5605,26.8178,2.0164,32.465,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9463,27.1621,0.4487,0.4825,0,0,33.0277,0.4326,1.5786,27.0018,2.0036,32.6718,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9045,27.2167,0.4438,0.5061,0,0,33.0451,0.4319,1.6199,26.888,2.0557,32.6507,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9661,27.4699,0.4481,0.5293,0,0,33.3874,0.429,1.5672,27.4183,2.0841,33.1726,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0113,27.0076,0.4414,0.5334,0,0,32.9565,0.453,1.6336,26.6846,2.1429,32.5301,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.05,27.5091,0.4473,0.5298,0,0,33.5818,0.4376,1.6015,26.9512,2.0628,32.747,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.024,27.1391,0.4622,0.5344,0,0,33.1588,0.443,1.6181,27.0224,2.0684,32.8481,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9827,27.6571,0.4555,0.532,0,0,33.6953,0.4408,1.59,26.8822,2.0751,32.7027,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0131,29.0367,0.4743,0.52,0,0,35.0741,0.4362,1.5655,27.1823,2.0788,32.939,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0112,27.5592,0.457,0.5781,0,0,33.6742,0.4369,1.5983,27.1214,2.0455,32.9739,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0453,27.6709,0.453,0.526,0,0,33.797,0.4332,1.5846,27.3119,2.0712,33.12,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9864,27.409,0.4502,0.5152,0,0,33.4336,0.4358,1.6126,27.1837,2.0635,32.9867,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0659,27.7076,0.424,0.5109,0,0,33.6057,0.4264,1.5459,27.7217,1.9938,33.3452,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9502,27.6672,0.4491,0.5122,0,0,33.7038,0.4334,1.6119,27.0526,2.0689,33.105,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0034,27.5506,0.4956,0.5251,0,0,33.5696,0.418,1.5391,26.6497,2.0091,32.2622,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9585,27.9828,0.4485,0.5043,0,0,33.8584,0.4138,1.5939,28.1897,1.9791,33.8115,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9109,26.9729,0.4542,0.5192,0,0,32.8865,0.4273,1.5779,26.9559,2.0943,32.752,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9957,27.6046,0.4496,0.5137,0,0,33.5813,0.4529,1.5761,26.9528,2.0536,32.7335,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,2.0772,27.5288,0.4489,0.521,0,0,33.8076,0.4249,1.5981,27.1558,2.0108,32.9054,1048576,1048592,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_1MB.txt,FALSE,20,1.9125,26.9764,0.4608,0.5267,0,0,32.9292,0.4255,1.547,27.1376,2.0495,32.8134,1048576,1048592,32,16,16
,,,,,,,,,,1.989075,27.45445,0.45289,0.523345,0,0,33.45426,0.433235,1.586015,27.11407,2.051355,32.87679,1048576,1048592,32,16,16
