curve,aes_payload,kem_wrap,hash,scrypt_N,scrypt_r,scrypt_p,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,163.59650000003967,24.807400000099733,41.06159999992087,0.44720000005327165,0.0,0.0,494.1235000001143,41.37119999995775,1.4562999999725434,25.3285999997388,168.10900000018592,377.89610000027096,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,162.56430000021282,24.331600000095932,42.32450000017707,0.47110000014072284,0.0,0.0,495.9093999996185,40.634399999817106,1.434899999821937,23.905099999865342,167.24380000005112,375.20230000018273,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,162.79210000038802,24.035800000092422,43.70699999981298,0.46320000001287553,0.0,0.0,494.711400000142,39.24109999979919,1.4474999998128624,23.8205000000562,169.77919999999358,374.9220999998215,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,163.77590000001874,24.41339999995762,41.44940000014685,0.45510000018111896,0.0,0.0,499.9923000000308,42.711900000085734,1.5131000000110362,24.128399999881367,169.92329999993672,380.59659999998985,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,165.9906999998384,24.500999999872874,42.25399999995716,0.48599999990983633,0.0,0.0,502.1228999999039,41.691200000059325,1.7036999997799285,23.593099999743572,174.599599999965,385.64839999980904,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,164.34079999999085,24.110600000312843,39.52449999997043,0.4714000001513341,0.0,0.0,492.46210000001156,40.46269999980723,1.5036999998301326,23.740600000110135,166.7488000002777,377.1052000001873,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,162.32609999997294,25.728000000071916,40.19379999999728,0.4580999998324842,0.0,0.0,492.9330999998456,39.37510000014299,1.5383999998448417,24.281400000290887,171.95229999970252,380.85469999987254,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,163.1932999998753,24.45639999996274,39.57159999981741,0.44649999972534715,0.0,0.0,494.21339999980773,39.200400000027,1.4987999998083978,24.24109999992652,172.66639999979816,379.61119999999937,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,162.25170000006983,24.67819999992571,39.794199999960256,0.4656999999497202,0.0,0.0,492.72560000008525,39.528100000097766,1.5269999998963613,24.414299999989453,171.8409000000065,381.14279999990686,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,166.4840000003096,24.79139999968538,39.909500000248954,0.4793000002791814,0.0,0.0,499.4323999999324,39.52389999994921,1.5368999997917854,24.510000000191212,174.3642000001273,385.0462999998854,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,165.92399999990448,24.543399999856774,40.19919999973354,0.5270999999993364,0.0,0.0,496.3917999998557,41.643199999725766,1.4473999999609077,24.02879999999641,172.11279999992257,382.4573000001692,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,164.92339999967953,24.223800000072515,41.33739999997488,0.4476999997677922,0.0,0.0,494.92849999978716,39.487000000008265,1.5547999996670114,24.98569999988831,171.4643000000251,380.8896000000459,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,166.63810000000012,24.584199999935663,39.81130000011035,0.549599999885686,0.0,0.0,497.9865999998765,41.74059999968449,1.504299999851355,24.773199999799544,171.06620000004114,385.77870000017356,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,163.59590000001845,24.272000000109983,41.53600000017832,0.449799999842071,0.0,0.0,495.15109999993,40.45779999978549,1.5113999997993233,23.847400000249763,172.0879999998033,383.957399999872,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,166.79579999981797,24.525400000129594,41.10889999992651,0.5114000000503438,0.0,0.0,496.8177000000651,41.23879999997371,1.5545000001111475,24.515399999927467,171.47030000023733,382.59289999996327,104857600,104857616,32,16,16
secp256k1,AES-256-CBC,ECDH+scrypt -> AES-GCM,SHA-1,,,,file_100MB.txt,False,20,163.63360000013927,24.727900000016234,42.38829999985683,0.4880000001321605,0.0,0.0,497.21469999985857,40.07260000025781,1.4834000003247638,24.70050000010815,176.6489999999976,384.7585999997136,104857600,104857616,32,16,16
