kem,kem_wrap_kdf,aes_payload,sign_alg,sign_hash,file,include_io,iterations,aes_encrypt_ms,kem_encaps_ms,hash_ms,sign_ms,serialize_ms,parse_ms,enc_total_ms,verify_hash_ms,verify_ms,kem_decaps_ms,aes_decrypt_ms,dec_total_ms,input_bytes,ciphertext_bytes,enc_aes_key_bytes,tag_bytes,nonce_bytes,verify_ok,enc_throughput_MBps,dec_throughput_MBps
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.712199999958102,0.18110000019078143,4.7054000001480745,0.4982999998901505,0.0,0.0,55.88220000004185,4.763199999842982,1.6046999999161926,0.057700000070326496,20.478400000001784,44.84239999987949,10485760,10485776,32,16,16,1,178.94785817295153,223.0032290873565
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.992500000171276,0.17800000000534055,4.655699999830176,0.4759999999350839,0.0,0.0,55.70099999999911,4.839799999899697,1.5103999999155349,0.06470000016634003,20.186899999998786,44.58210000007057,10485760,10485776,32,16,16,1,179.52999048491336,224.30527050058592
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.964800000025207,0.1798000000690081,4.693400000178372,0.5051999999068357,0.0,0.0,55.5104999998548,4.77750000004562,1.6201999999339023,0.06260000009206124,20.313499999929263,44.38690000006318,10485760,10485776,32,16,16,1,180.14609848634325,225.29169642362424
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.68780000015613,0.181399999974019,4.634000000123706,0.5138999999871885,0.0,0.0,55.946199999880264,4.861900000150854,1.6054000000167434,0.0660000000607397,20.4510000000937,43.90210000019579,10485760,10485776,32,16,16,1,178.7431496691715,227.77953674096236
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,18.65500000008069,0.18019999993157398,4.673799999864059,0.48880000008466595,0.0,0.0,53.273600000011356,4.799700000148732,1.5946999999414402,0.06150000012894452,20.09500000008302,43.32169999997859,10485760,10485776,32,16,16,1,187.71023546367934,230.8312000684401
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.761000000016793,0.18380000005890906,4.641999999876134,0.514500000008411,0.0,0.0,55.54080000001704,4.7260999999707565,1.5977000000475527,0.06450000000768341,20.30919999992875,44.084399999974266,10485760,10485776,32,16,16,1,180.047820701123,226.83761149081846
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.92389999986699,0.17389999993611127,4.737400000067282,0.4732999998395826,0.0,0.0,56.34069999996427,4.74949999988894,1.6336000001047069,0.06419999999707215,20.38710000010724,44.71829999988586,10485760,10485776,32,16,16,1,177.49158246181432,223.62209654717475
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,20.00939999993534,0.18410000006952032,4.657400000041889,0.49439999997957784,0.0,0.0,55.861800000002404,4.841599999963364,1.585500000146567,0.06580000012945675,20.470599999953265,44.733400000041,10485760,10485776,32,16,16,1,179.0132075944486,223.54661170380152
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.89319999984218,0.1887000000806438,4.715900000064721,0.5183999999189837,0.0,0.0,55.927800000063144,4.839599999968414,1.5678999998272047,0.05999999984851456,20.45529999986684,44.868899999983114,10485760,10485776,32,16,16,1,178.80195537798215,222.8715212542265
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,22.251799999821742,0.17170000000987784,4.630900000165639,0.551999999970576,0.0,0.0,57.70060000008925,4.8246999999719264,1.575100000081875,0.06329999996523838,20.476800000096773,44.18579999992289,10485760,10485776,32,16,16,1,173.30842313571318,226.3170520850013
ML-KEM-768 (Kyber768) via pqcrypto,HKDF-SHA256,AES-256-CBC,ECDSA(secp256k1),SHA-256,file_10MB.txt,False,20,19.80069999990519,0.17270000012103992,4.700599999978294,0.5166000000826898,0.0,0.0,55.640100000118764,4.955899999913527,1.5826999999717373,0.06550000011884549,20.954300000084913,45.25929999999789,10485760,10485776,32,16,16,1,179.7264922237497,220.94906461214526
